#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P08648	uniprotkb:P16284	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:PECA1_HUMAN|uniprotkb:PECAM1	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Wong CW et al. (2000)|Zhao T et al. (2001)	pubmed:10982404|pubmed:11149921	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.5311911
uniprotkb:P17301	uniprotkb:P03956	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:MMP1_HUMAN|uniprotkb:MMP1|uniprotkb:CLG	psi-mi:"MI:0019"(coimmunoprecipitation)|MI:0023|MI:10010	Dumin JA et al. (2001)|Stricker TP et al. (2001)	pubmed:11359786|pubmed:11359774	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0023"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.51283145
uniprotkb:P48509	uniprotkb:P26006	-	-	uniprotkb:CD151_HUMAN|uniprotkb:CD151|uniprotkb:TSPAN24	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010	Carloni V et al. (2004)|Sterk LM et al. (2000)|Yauch RL et al. (2000)	pubmed:14676841|pubmed:10811835|pubmed:10734060	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.6070781
uniprotkb:P26006	uniprotkb:Q14192	-	-	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	uniprotkb:FHL2_HUMAN|uniprotkb:FHL2|uniprotkb:DRAL|uniprotkb:SLIM3	psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0018"(two hybrid)	Wixler V et al. (2000)	pubmed:10906324	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.44547057
uniprotkb:Q13477	uniprotkb:P13612	-	-	uniprotkb:MADCA_HUMAN|uniprotkb:MADCAM1	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D	MI:0492|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)	Tan K et al. (1998)|Shroff HN et al. (1998)|Ruiz-Velasco N et al. (2000)	pubmed:9655832|pubmed:9873398|pubmed:10702270	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.55971235
uniprotkb:P49023	uniprotkb:P13612	-	-	uniprotkb:PAXI_HUMAN|uniprotkb:PXN	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D	psi-mi:"MI:0018"(two hybrid)|MI:10010|MI:10010	Pinco KA et al. (2002)|Liu S et al. (2002)|Han J et al. (2001)	pubmed:12221126|pubmed:11919182|pubmed:11533025	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.5281048
uniprotkb:P08648	uniprotkb:P02751	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:FINC_HUMAN|uniprotkb:FN1|uniprotkb:FN	MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010|MI:0022	Burke-Gaffney A et al. (2002)|Zhao T et al. (2001)|Lee JL et al. (2004)|Hoshijima M et al. (2006)|Trache A et al. (2005)|Busk M et al. (1992)	pubmed:11801679|pubmed:11149921|pubmed:14709558|pubmed:16457822|pubmed:16055535|pubmed:1532572	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:0022"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0463"(GRID)	-	miscore:0.7919974
uniprotkb:P08648	uniprotkb:P24821	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:TENA_HUMAN|uniprotkb:TNC|uniprotkb:HXB	MI:0493|psi-mi:"MI:0018"(two hybrid)	Jones PL et al. (1997)|Ljubimov AV et al. (2001)	pubmed:9314546|pubmed:11668187	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.43911052
uniprotkb:P08648	uniprotkb:P05106	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:ITB3_HUMAN|uniprotkb:ITGB3|uniprotkb:GP3A	MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Pfaff M et al. (1993)|Akimov SS et al. (2000)|Smith JW et al. (1990)|Hayashi Y et al. (2002)|Liaw L et al. (1995)|Byzova TV et al. (1998)	pubmed:8387021|pubmed:10684262|pubmed:1694173|pubmed:12445830|pubmed:7532190|pubmed:9864377	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.7653527
uniprotkb:P05556	uniprotkb:P26006	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:kiWtYbZm/he5kFN78s3DCFe9wjA9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:FRP-2|uniprotkb:CD49 antigen-like family member C|uniprotkb:ita3_human|intact:EBI-2550768	MI:0000|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010|psi-mi:"MI:0364"(inferred by curator)	Hemler ME et al. (1987)|Park KR et al. (2000)|Berditchevski F et al. (1997)|Rodrigues RG et al. (2001)|Akimov SS et al. (2000)|Sterk LM et al. (2000)|Hayashi Y et al. (2002)|Dominguez-Jimenez C et al. (2001)|Dorfleutner A et al. (2004)	pubmed:3546305|pubmed:10694273|pubmed:9360995|pubmed:11358957|pubmed:10684262|pubmed:10811835|pubmed:12445830|pubmed:11387256|pubmed:15254262|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0469"(intact)	intact:EBI-2550808	intact-miscore:0.31(free-text)|miscore:0.8911972
