#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:248047"	uniprotkb:P13612	-	-	chembl:CHEMBL88608|unknown:"InChI=1S/C28H28Cl2N2O7S2/c1-28(12-5-13-32(28)41(38,39)22-16-20(29)15-21(30)17-22)27(35)31-24(26(33)34)14-18-8-10-19(11-9-18)23-6-3-4-7-25(23)40(2,36)37/h3-4,6-11,15-17,24H,5,12-14H2,1-2H3,(H,31,35)(H,33,34)/t24-,28-/m0/s1"|unknown:ZNLSNWBYZFYQKK-CUBQBAPOSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4S(=O)(=O)C)C(=O)O"|unknown:chembl88608	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248581"	uniprotkb:P13612	-	-	chembl:CHEMBL91136|unknown:"InChI=1S/C28H24Cl2FN3O5S/c1-28(9-2-10-34(28)40(38,39)22-14-20(29)13-21(30)15-22)27(37)33-25(26(35)36)12-17-3-6-19(7-4-17)23-11-18(16-32)5-8-24(23)31/h3-8,11,13-15,25H,2,9-10,12H2,1H3,(H,33,37)(H,35,36)/t25-,28-/m0/s1"|unknown:VOKWLPMZPWNTFX-LSYYVWMOSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4cc(ccc4F)C#N)C(=O)O"|unknown:chembl91136	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248674"	uniprotkb:P13612	-	-	chembl:CHEMBL94107|unknown:"InChI=1S/C26H25Cl2N3O5S/c1-26(9-3-11-31(26)37(35,36)22-14-20(27)13-21(28)15-22)25(34)30-23(24(32)33)12-17-5-7-18(8-6-17)19-4-2-10-29-16-19/h2,4-8,10,13-16,23H,3,9,11-12H2,1H3,(H,30,34)(H,32,33)/t23-,26-/m0/s1"|unknown:GDSMXSYVAAVCRV-OZXSUGGESA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4cccnc4)C(=O)O"|unknown:chembl94107	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248782"	uniprotkb:P13612	-	-	chembl:CHEMBL93790|unknown:"InChI=1S/C28H25Cl2N3O5S/c1-28(11-4-12-33(28)39(37,38)23-15-21(29)14-22(30)16-23)27(36)32-25(26(34)35)13-18-7-9-19(10-8-18)24-6-3-2-5-20(24)17-31/h2-3,5-10,14-16,25H,4,11-13H2,1H3,(H,32,36)(H,34,35)/t25-,28-/m0/s1"|unknown:KFMZAEHOOJXIHH-LSYYVWMOSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4C#N)C(=O)O"|unknown:chembl93790	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248570"	uniprotkb:P13612	-	-	chembl:CHEMBL90580|unknown:"InChI=1S/C30H31Cl2N3O6S/c1-30(13-6-14-35(30)42(40,41)23-17-21(31)16-22(32)18-23)29(39)33-26(28(37)38)15-19-9-11-20(12-10-19)24-7-4-5-8-25(24)27(36)34(2)3/h4-5,7-12,16-18,26H,6,13-15H2,1-3H3,(H,33,39)(H,37,38)/t26-,30-/m0/s1"|unknown:WTUXQGQYRAGZCP-YZNIXAGQSA-N|unknown:"CN(C)C(=O)c1ccccc1c2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl90580	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248671"	uniprotkb:P13612	-	-	chembl:CHEMBL91030|unknown:"InChI=1S/C29H27Cl2N3O5S/c1-29(11-3-13-34(29)40(38,39)23-16-21(30)15-22(31)17-23)28(37)33-25(27(35)36)14-18-6-8-19(9-7-18)24-5-2-4-20-10-12-32-26(20)24/h2,4-10,12,15-17,25,32H,3,11,13-14H2,1H3,(H,33,37)(H,35,36)/t25-,29-/m0/s1"|unknown:NEHVNFYXIGYVRB-SVEHJYQDSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4cccc5cc[nH]c45)C(=O)O"|unknown:chembl91030	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:247985"	uniprotkb:P13612	-	-	chembl:CHEMBL313632|unknown:"InChI=1S/C29H27Cl2N3O6S/c1-29(11-4-12-34(29)41(38,39)23-15-21(30)14-22(31)16-23)28(37)33-24(27(35)36)13-18-7-9-19(10-8-18)26-20(17-32)5-3-6-25(26)40-2/h3,5-10,14-16,24H,4,11-13H2,1-2H3,(H,33,37)(H,35,36)/t24-,29-/m0/s1"|unknown:UKDPVOZZLJCIKT-OUTSHDOLSA-N|unknown:"COc1cccc(C#N)c1c2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl313632	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821055	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248571"	uniprotkb:P13612	-	-	chembl:CHEMBL90637|unknown:"InChI=1S/C28H27Cl2N3O6S/c1-28(11-4-12-33(28)40(38,39)21-15-19(29)14-20(30)16-21)27(37)32-24(26(35)36)13-17-7-9-18(10-8-17)22-5-2-3-6-23(22)25(31)34/h2-3,5-10,14-16,24H,4,11-13H2,1H3,(H2,31,34)(H,32,37)(H,35,36)/t24-,28-/m0/s1"|unknown:WOZSUXNJFSSYJW-CUBQBAPOSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4C(=O)N)C(=O)O"|unknown:chembl90637	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263918"	uniprotkb:P13612	-	-	chembl:CHEMBL97944|unknown:"InChI=1S/C28H36N4O6/c1-4-8-23(18-27(35)36)29-25(33)19-32(15-7-16-38-3)26(34)17-21-11-13-22(14-12-21)30-28(37)31-24-10-6-5-9-20(24)2/h4-6,8-14,23H,7,15-19H2,1-3H3,(H,29,33)(H,35,36)(H2,30,31,37)/b8-4+/t23-/m1/s1"|unknown:WLIMZAMCORVXBU-VURDRKPISA-N|unknown:"COCCCN(CC(=O)N[C@@H](CC(=O)O)C=CC)C(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1"|unknown:chembl97944	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818053|chembl:CHEMBL818051|chembl:CHEMBL818045|chembl:CHEMBL818046	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263727"	uniprotkb:P13612	-	-	chembl:CHEMBL327274|unknown:"InChI=1S/C32H38N4O7/c1-22-7-4-5-8-27(22)35-32(41)33-25-13-9-23(10-14-25)19-30(38)36(17-6-18-42-2)21-29(37)34-28(20-31(39)40)24-11-15-26(43-3)16-12-24/h4-5,7-16,28H,6,17-21H2,1-3H3,(H,34,37)(H,39,40)(H2,33,35,41)/t28-/m0/s1"|unknown:KAWWLMXURZRINX-NDEPHWFRSA-N|unknown:"COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)cc1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl327274	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818053|chembl:CHEMBL818052|chembl:CHEMBL818045|chembl:CHEMBL818046|chembl:CHEMBL818379	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263726"	uniprotkb:P13612	-	-	chembl:CHEMBL316723|unknown:"InChI=1S/C33H40N4O8/c1-22-8-5-6-9-26(22)36-33(42)34-25-13-10-23(11-14-25)18-31(39)37(16-7-17-43-2)21-30(38)35-27(20-32(40)41)24-12-15-28(44-3)29(19-24)45-4/h5-6,8-15,19,27H,7,16-18,20-21H2,1-4H3,(H,35,38)(H,40,41)(H2,34,36,42)/t27-/m0/s1"|unknown:GBTYEOLOCAQPPZ-MHZLTWQESA-N|unknown:"COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)c(OC)c1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl316723	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818053|chembl:CHEMBL818052|chembl:CHEMBL818045|chembl:CHEMBL818046	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248709"	uniprotkb:P13612	-	-	chembl:CHEMBL328973|unknown:"InChI=1S/C24H23Cl2N3O5S2/c1-24(7-2-9-29(24)36(33,34)19-13-17(25)12-18(26)14-19)23(32)28-20(22(30)31)11-15-3-5-16(6-4-15)21-27-8-10-35-21/h3-6,8,10,12-14,20H,2,7,9,11H2,1H3,(H,28,32)(H,30,31)/t20-,24-/m0/s1"|unknown:BNIJMUVCQMIEQC-RDPSFJRHSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4nccs4)C(=O)O"|unknown:chembl328973	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248749"	uniprotkb:P13612	-	-	chembl:CHEMBL92200|unknown:"InChI=1S/C28H25Cl2N3O5S/c1-28(10-3-11-33(28)39(37,38)24-15-22(29)14-23(30)16-24)27(36)32-25(26(34)35)13-18-6-8-20(9-7-18)21-5-2-4-19(12-21)17-31/h2,4-9,12,14-16,25H,3,10-11,13H2,1H3,(H,32,36)(H,34,35)/t25-,28-/m0/s1"|unknown:XXMAAHCJSQLUJD-LSYYVWMOSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4cccc(c4)C#N)C(=O)O"|unknown:chembl92200	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248469"	uniprotkb:P13612	-	-	chembl:CHEMBL330340|unknown:"InChI=1S/C28H28Cl2N2O6S/c1-28(12-5-13-32(28)39(36,37)22-16-20(29)15-21(30)17-22)27(35)31-24(26(33)34)14-18-8-10-19(11-9-18)23-6-3-4-7-25(23)38-2/h3-4,6-11,15-17,24H,5,12-14H2,1-2H3,(H,31,35)(H,33,34)/t24-,28-/m0/s1"|unknown:RNWJDKPVADJMJR-CUBQBAPOSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl330340	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:248861"	uniprotkb:P13612	-	-	chembl:CHEMBL90995|unknown:"InChI=1S/C27H25Cl3N2O5S/c1-27(11-4-12-32(27)38(36,37)21-15-19(28)14-20(29)16-21)26(35)31-24(25(33)34)13-17-7-9-18(10-8-17)22-5-2-3-6-23(22)30/h2-3,5-10,14-16,24H,4,11-13H2,1H3,(H,31,35)(H,33,34)/t24-,27-/m0/s1"|unknown:WDFAWDSVCKYRQT-IGKIAQTJSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4Cl)C(=O)O"|unknown:chembl90995	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:247961"	uniprotkb:P13612	-	-	chembl:CHEMBL91109|unknown:"InChI=1S/C28H28Cl2N2O5S2/c1-28(12-5-13-32(28)39(36,37)22-16-20(29)15-21(30)17-22)27(35)31-24(26(33)34)14-18-8-10-19(11-9-18)23-6-3-4-7-25(23)38-2/h3-4,6-11,15-17,24H,5,12-14H2,1-2H3,(H,31,35)(H,33,34)/t24-,28-/m0/s1"|unknown:SATRONDTGPPWOY-CUBQBAPOSA-N|unknown:"CSc1ccccc1c2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl91109	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Hagmann et al (2001)	pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818376	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263972"	uniprotkb:P13612	-	-	chembl:CHEMBL318936|unknown:"InChI=1S/C28H36N4O5/c1-5-8-22(17-26(34)35)29-27(36)24(15-18(2)3)31-25(33)16-20-11-13-21(14-12-20)30-28(37)32-23-10-7-6-9-19(23)4/h5-7,9-14,18,22,24H,1,8,15-17H2,2-4H3,(H,29,36)(H,31,33)(H,34,35)(H2,30,32,37)/t22-,24+/m1/s1"|unknown:IEFCHTLJLCKGBX-VWNXMTODSA-N|unknown:"CC(C)C[C@H](NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)N[C@H](CC=C)CC(=O)O"|unknown:chembl318936	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:264163"	uniprotkb:P13612	-	-	chembl:CHEMBL101151|unknown:"InChI=1S/C32H36N4O7/c1-19(2)14-26(31(40)35-25(17-30(38)39)22-10-13-27-28(16-22)43-18-42-27)34-29(37)15-21-8-11-23(12-9-21)33-32(41)36-24-7-5-4-6-20(24)3/h4-13,16,19,25-26H,14-15,17-18H2,1-3H3,(H,34,37)(H,35,40)(H,38,39)(H2,33,36,41)/t25-,26-/m0/s1"|unknown:YXFDUNGSOONFHY-UIOOFZCWSA-N|unknown:"CC(C)C[C@H](NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)N[C@@H](CC(=O)O)c3ccc4OCOc4c3"|unknown:chembl101151	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:264152"	uniprotkb:P13612	-	-	chembl:CHEMBL101209|unknown:"InChI=1S/C34H42N4O5/c1-25(2)17-20-38(24-32(40)37(22-19-33(41)42)21-18-27-10-5-4-6-11-27)31(39)23-28-13-15-29(16-14-28)35-34(43)36-30-12-8-7-9-26(30)3/h4-16,25H,17-24H2,1-3H3,(H,41,42)(H2,35,36,43)"|unknown:JWBMLMOGAGQHTH-UHFFFAOYSA-N|unknown:"CC(C)CCN(CC(=O)N(CCC(=O)O)CCc1ccccc1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl101209	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263974"	uniprotkb:P13612	-	-	chembl:CHEMBL98793|unknown:"InChI=1S/C27H35N5O5.Li/c1-5-8-22(16-25(34)35)29-27(37)32(17-18(2)3)31-24(33)15-20-11-13-21(14-12-20)28-26(36)30-23-10-7-6-9-19(23)4;/h5-7,9-14,18,22H,1,8,15-17H2,2-4H3,(H,29,37)(H,31,33)(H,34,35)(H2,28,30,36);/q;+1/p-1"|unknown:HWLGMOUHZMXGCS-UHFFFAOYSA-M|unknown:"[Li+].CC(C)CN(NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)NC(CC=C)CC(=O)[O-]"|unknown:chembl98793	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263759"	uniprotkb:P13612	-	-	chembl:CHEMBL318064|unknown:"InChI=1S/C34H42N4O7/c1-22(2)16-17-38(21-31(39)36-28(20-33(41)42)25-12-15-29(44-4)30(19-25)45-5)32(40)18-24-10-13-26(14-11-24)35-34(43)37-27-9-7-6-8-23(27)3/h6-15,19,22,28H,16-18,20-21H2,1-5H3,(H,36,39)(H,41,42)(H2,35,37,43)/t28-/m0/s1"|unknown:LYOQXGGFOYBHQO-NDEPHWFRSA-N|unknown:"COc1ccc(cc1OC)[C@H](CC(=O)O)NC(=O)CN(CCC(C)C)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl318064	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
